sample_type,target,timepoints,model,search,train_pct,scale,apply_pls,apply_smote,balanced_accuracy,mcc,cohen_kappa,f1_weighted,f1_macro,roc_auc,cv_best_score,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mcc_ci_low,mcc_ci_high,roc_auc_ci_low,roc_auc_ci_high,sensitivity_class0,sensitivity_class1,sensitivity_class2
CAPILAR,group_fam,[1],Random Forest,grid,0.7,True,True,True,0.7777777777777778,0.6759978332495944,0.6585365853658537,0.7567611336032389,0.7592442645074223,0.9213877909530083,0.76,0.6517361111111112,0.8958333333333334,0.4932710344755273,0.8475877361620786,0.8436598516218081,0.9852006518173185,0.5,1.0,0.8333333333333334
CAPILAR,group_fam,[1],MLP Classifier,grid,0.7,True,True,True,0.664141414141414,0.5442210428990047,0.4896719319562576,0.5940730315114552,0.5967280909809646,0.9138120333772508,0.7311111111111112,0.556875,0.7708333333333334,0.37589776270824904,0.7276470683203109,0.8221778125773467,0.9770575520063097,0.16666666666666666,0.9090909090909091,0.9166666666666666
CAPILAR,group_fam,[1],Decision Tree,grid,0.7,True,True,True,0.9166666666666666,0.8759240198411756,0.8716381418092909,0.914069264069264,0.914141414141414,0.9371980676328503,0.7488888888888889,0.8202777777777778,1.0,0.7501082223035742,1.0,0.8651776403421141,1.0,0.8333333333333334,1.0,0.9166666666666666
CAPILAR,group_fam,[1],XGBoost,grid,0.7,True,True,True,0.8055555555555557,0.7122136274034763,0.7008547008547008,0.7908571428571428,0.7933333333333333,0.88510101010101,0.7866666666666667,0.699656862745098,0.9166666666666666,0.5461800598349049,0.8753404799962604,0.7855218918728113,0.9632264485641487,0.5833333333333334,1.0,0.8333333333333334
CAPILAR,group_fam,"[1, 2, 3]",Random Forest,grid,0.7,True,True,True,0.7397939292676136,0.6789623218586107,0.6764380530973451,0.8163287616775988,0.7289405684754522,0.9259101822066437,0.6978787878787879,0.6226792815028109,0.8443941609073187,0.5623709283427725,0.7949371807349169,0.8764589007634211,0.9658821132904823,0.5714285714285714,0.9111111111111111,0.7368421052631579
CAPILAR,group_fam,"[1, 2, 3]",MLP Classifier,grid,0.7,True,True,True,0.7319409635199108,0.7057176580743785,0.6961342523224453,0.8196693657219972,0.7492481203007518,0.933665443614243,0.7521428571428571,0.618338966102124,0.8331810897435897,0.57131332902082,0.835374940876159,0.8851641781630127,0.9723326784057684,0.42857142857142855,0.9777777777777777,0.7894736842105263
CAPILAR,group_fam,"[1, 2, 3]",Decision Tree,grid,0.7,True,True,True,0.6949039264828739,0.6179497087093289,0.6134361233480177,0.7762811743659896,0.6812976353332031,0.8637798081874707,0.676969696969697,0.5817528763638362,0.7987952748404904,0.47881919455575495,0.750392855379428,0.7872949555853463,0.9350822933050489,0.42857142857142855,0.8666666666666667,0.7894736842105263
CAPILAR,group_fam,"[1, 2, 3]",XGBoost,grid,0.7,True,True,True,0.723391812865497,0.6685736427126091,0.6683673469387755,0.8091402019664768,0.7205896475559398,0.9355058912815194,0.7208946608946608,0.6117732200049273,0.8313182621899585,0.5281619833342337,0.7986382070836614,0.8885310600077921,0.9730799517468663,0.5,0.9333333333333333,0.7368421052631579
PLASMA,group_fam,[1],Random Forest,grid,0.7,True,True,True,0.6883116883116883,0.5357142857142857,0.5357142857142857,0.6923076923076923,0.6883116883116883,0.8424675324675325,0.5853968253968254,0.5476755189255189,0.8281302521008403,0.3197358717321735,0.7302427540313875,0.7254243418025469,0.925337898618818,0.7142857142857143,0.7142857142857143,0.6363636363636364
PLASMA,group_fam,[1],MLP Classifier,grid,0.7,True,True,True,0.6038961038961039,0.4178566485243723,0.4161676646706587,0.6128205128205128,0.6047619047619047,0.8107792207792208,0.5965079365079365,0.45382936507936505,0.7437484737484737,0.18562563929498757,0.6309270951263126,0.6950463267043726,0.9004265971259435,0.7142857142857143,0.6428571428571429,0.45454545454545453
